0,0
4,0,1127
4,1,1181
3,1,1244
3,2,1311
3,2,1401
3,2,1484
4,3,1529
4,4,1614
4,4,1663
5,5,1735
4,5,1797
3,3,1847
3,3,1929
4,4,1946
4,4,1984
4,4,2050
5,4,2108
5,4,2136
6,4,2187
6,4,2241
6,4,2275
5,3,2330
5,3,2379
5,3,2422
5,3,2481
5,3,2522
5,3,2591
6,2,2650
6,2,2715
6,2,2748
5,2,2805
2,2,2839
3,3,2931
2,2,3004
2,2,3071
1,2,3096
1,1,3117
0,1,3143
1,0,3192
1,0,3213
2,0,3194
1,0,3258
1,0,3255
1,0,3293
1,0,3318
1,0,3330
1,0,3360
1,0,3377
1,0,3342
1,0,3365
1,0,3395
1,0,3398
0,0,3411
0,0,3394
0,0,3402
0,0,3428
0,0,3421
0,0,3455
0,0,3478
0,0,3509
0,0,3516
0,0,3545
0,0,3549
0,0,3544
0,0,3514
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,0
0,0,0
0,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,3
0,0,10
0,0,15
0,0,25
0,0,36
0,0,46
0,0,58
0,0,80
0,0,92
0,0,112
0,0,131
0,0,153
0,0,173
0,0,203
0,0,234
0,0,257
0,0,297
0,0,315
0,0,339
0,0,372
0,0,395
0,0,403
0,0,439
0,0,481
0,0,505
0,0,526
0,0,579
0,0,612
0,0,647
0,0,662
0,0,677
0,0,713
0,0,735
0,0,786
0,0,819
0,0,843
0,0,840
0,0,877
0,0,903
0,0,923
0,0,941
0,0,975
0,0,1027
0,0,1076
0,0,1112
0,0,1170
0,0,1189
0,0,1193
0,0,1238
0,0,1282
0,0,1322
0,0,1381
0,0,1399
0,0,1425
0,0,1446
0,0,1470
0,0,1519
0,0,1551
0,0,1579
0,0,1617
0,0,1677
0,0,1692
0,0,1716
0,0,1752
0,0,1799
0,0,1812
0,0,1847
0,0,1876
0,0,1900
0,0,1906
0,0,1930
0,0,1943
0,0,1969
0,0,1993
0,0,2000
0,0,2006
0,0,2031
0,0,2047
0,0,2059
0,0,2055
0,0,2051
0,0,2059
0,0,2078
0,0,2082
0,0,2106
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,0
0,0,0
0,5
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,3
0,0,3
0,0,3
0,0,9
0,0,13
0,0,20
0,0,31
0,0,32
0,0,49
0,0,53
0,0,61
0,0,70
0,0,68
0,0,79
0,0,87
0,0,113
0,0,129
0,0,141
0,0,155
0,0,182
0,0,178
0,0,197
0,0,212
0,0,229
0,0,238
0,0,258
0,0,270
0,0,288
0,0,298
0,0,309
0,0,320
0,0,323
0,0,332
0,0,335
0,0,369
0,0,376
0,0,397
0,0,423
0,0,425
0,0,437
0,0,449
0,0,476
0,0,508
0,0,520
0,0,554
0,0,594
0,0,611
0,0,635
0,0,663
0,0,676
0,0,700
0,0,697
0,0,730
0,0,749
0,0,777
0,0,812
0,0,834
0,0,863
0,0,884
0,0,924
0,0,939
0,0,953
0,0,964
0,0,998
0,0,996
0,0,1013
0,0,1014
0,0,1030
0,0,1039
0,0,1057
0,0,1058
0,0,1073
0,0,1064
0,0,1087
0,0,1088
0,0,1100
0,0,1122
0,0,1143
0,0,1176
0,0,1187
0,0,1195
0,0,1221
0,0,1219
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,6
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,7
0,0,7
0,0,11
0,0,10
0,0,15
0,0,17
0,0,22
0,0,32
0,0,39
0,0,44
0,0,46
0,0,52
0,0,60
0,0,61
0,0,67
0,0,84
0,0,85
0,0,86
0,0,89
0,0,96
0,0,100
0,0,109
0,0,113
0,0,130
0,0,136
0,0,145
0,0,161
0,0,171
0,0,183
0,0,192
0,0,207
0,0,214
0,0,225
0,0,243
0,0,264
0,0,287
0,0,305
0,0,315
0,0,336
0,0,334
0,0,348
0,0,366
0,0,370
0,0,393
0,0,406
0,0,411
0,0,441
0,0,447
0,0,462
0,0,479
0,0,489
0,0,491
0,0,504
0,0,510
0,0,510
0,0,524
0,0,538
0,0,556
0,0,563
0,0,575
0,0,586
0,0,608
0,0,623
0,0,628
0,0,636
0,0,637
0,0,638
0,0,665
0,0,666
0,0,671
0,0,676
0,0,680
0,0,678
0,0,678
0,0,677
0,0,685
0,0,684
0,0,692
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,0
0,0,0
0,7
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,3
0,0,4
0,0,5
0,0,7
0,0,10
0,0,10
0,0,11
0,0,11
0,0,14
0,0,16
0,0,19
0,0,21
0,0,25
0,0,27
0,0,26
0,0,33
0,0,39
0,0,50
0,0,49
0,0,41
0,0,44
0,0,50
0,0,50
0,0,58
0,0,68
0,0,76
0,0,86
0,0,94
0,0,98
0,0,101
0,0,106
0,0,113
0,0,122
0,0,123
0,0,126
0,0,132
0,0,144
0,0,150
0,0,169
0,0,177
0,0,185
0,0,194
0,0,201
0,0,215
0,0,230
0,0,243
0,0,254
0,0,251
0,0,247
0,0,257
0,0,272
0,0,279
0,0,296
0,0,306
0,0,312
0,0,323
0,0,333
0,0,349
0,0,372
0,0,382
0,0,371
0,0,359
0,0,366
0,0,380
0,0,393
0,0,411
0,0,418
0,0,432
0,0,437
0,0,452
0,0,455
0,0,462
0,0,467
0,0,477
0,0,482
0,0,489
0,0,505
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,8
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,2
0,0,2
0,0,2
0,0,2
0,0,3
0,0,4
0,0,5
0,0,7
0,0,9
0,0,7
0,0,7
0,0,13
0,0,14
0,0,16
0,0,16
0,0,16
0,0,16
0,0,19
0,0,30
0,0,33
0,0,34
0,0,37
0,0,36
0,0,36
0,0,35
0,0,34
0,0,43
0,0,46
0,0,55
0,0,59
0,0,61
0,0,58
0,0,65
0,0,66
0,0,63
0,0,67
0,0,78
0,0,85
0,0,95
0,0,101
0,0,107
0,0,112
0,0,115
0,0,124
0,0,122
0,0,127
0,0,141
0,0,151
0,0,160
0,0,160
0,0,165
0,0,165
0,0,175
0,0,187
0,0,181
0,0,181
0,0,184
0,0,190
0,0,195
0,0,220
0,0,237
0,0,244
0,0,245
0,0,249
0,0,246
0,0,258
0,0,267
0,0,272
0,0,275
0,0,280
0,0,287
0,0,294
0,0,299
0,0,311
0,0,321
0,0,320
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,9
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,2
0,0,2
0,0,3
0,0,5
0,0,6
0,0,6
0,0,7
0,0,6
0,0,6
0,0,9
0,0,9
0,0,13
0,0,13
0,0,13
0,0,15
0,0,15
0,0,18
0,0,21
0,0,23
0,0,21
0,0,21
0,0,20
0,0,22
0,0,24
0,0,31
0,0,34
0,0,39
0,0,43
0,0,51
0,0,55
0,0,54
0,0,55
0,0,55
0,0,59
0,0,61
0,0,65
0,0,71
0,0,73
0,0,79
0,0,82
0,0,87
0,0,89
0,0,89
0,0,96
0,0,105
0,0,112
0,0,113
0,0,110
0,0,119
0,0,123
0,0,121
0,0,117
0,0,117
0,0,117
0,0,123
0,0,123
0,0,124
0,0,128
0,0,138
0,0,129
0,0,131
0,0,137
0,0,137
0,0,143
0,0,145
0,0,153
0,0,168
0,0,171
0,0,181
0,0,194
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,3
0,0,3
0,0,4
0,0,4
0,0,6
0,0,5
0,0,3
