24,1,0,W
37,2,0,W
79,3,0,W
56,0,1,L
40,1,0,W
74,2,0,W
51,1,0,T
85,1,1,T
110,0,0,T
53,1,0,W
55,2,0,W
61,3,0,W
110,0,0,T
01,0,1,W
38,1,1,W
68,2,1,W
75,3,1,W
77,4,1,W
15,1,0,W
23,2,0,W
82,3,0,W
17,1,0,W
58,2,0,W
80,2,1,W
17,1,0,W
21,2,0,W
31,3,0,W
37,4,0,W
45,5,0,W
61,6,0,W
63,7,0,W
67,8,0,W
01,1,0,W
20,2,0,W
28,3,0,W
42,4,0,W
50,5,0,W
64,6,0,W
80,7,0,W
35,1,0,W
47,2,0,W
60,0,1,L
65,1,1,L
91,1,2,L
110,0,0,T
65,0,1,L
67,0,2,L
48,0,1,L
56,0,2,L
65,0,3,L
37,1,0,W
50,2,0,W
52,3,0,W
61,4,0,W
45,1,0,W
82,2,0,W
86,2,1,W
26,0,1,L
30,0,2,L
53,0,3,L
81,1,3,L
04,1,0,W
18,2,0,W
30,3,0,W
49,3,1,W
02,1,0,W
06,2,0,W
30,3,0,W
39,4,0,W
40,5,0,W
48,6,0,W
56,7,0,W
58,8,0,W
63,9,0,W
71,10,0,W
80,11,0,W
84,12,0,W
51,0,1,L
84,1,1,L
90,1,2,L
09,1,0,W
32,2,0,W
50,3,0,W
10,1,0,W
28,2,0,W
30,3,0,W
32,4,0,W
36,5,0,W
47,6,0,W
58,7,0,W
67,8,0,W
71,9,0,W
81,10,0,W
41,1,0,W
58,2,0,W
64,3,0,W
26,0,1,L
46,0,2,L
56,0,3,L
69,0,1,L
03,1,0,W
47,2,0,W
58,3,0,W
89,4,0,W
56,0,1,L
62,0,2,L
83,0,3,L
110,0,0,T
110,0,0,T
23,0,1,L
26,1,1,L
28,1,2,L
53,1,3,L
85,1,4,L
00,1,0,W
29,2,0,W
52,3,0,W
20,0,1,L
26,0,2,L
08,1,0,W
11,2,0,W
30,3,0,W
71,4,0,W
77,5,0,W
85,6,0,W
88,7,0,W
89,7,1,W
00,1,0,W
32,2,0,W
43,3,0,W
48,3,1,W
77,3,2,W
29,0,1,L
06,0,1,L
59,0,2,L
64,0,3,L
70,0,4,L
75,0,5,L
79,0,6,L
01,1,0,W
76,2,0,W
00,0,1,W
06,1,1,W
13,2,1,W
79,3,1,W
26,0,1,L
62,1,0,W
92,1,0,W
15,0,1,L
35,0,2,L
73,0,3,L
38,1,0,W
89,2,0,W
03,1,0,W
110,0,0,T
0,1,0,W
72,2,0,W
81,2,1,W
23,1,0,W
67,1,0,W
110,0,0,T
43,1,0,W
25,1,1,W
23,2,1,W
39,3,1,W
36,4,1,W
23,5,1,W
04,6,1,W
02,7,1,W
55,0,1,L
77,0,2,L
79,0,3,L
05,1,0,L
10,1,1,L
32,1,2,L
35,1,3,L
13,1,0,W
25,2,0,W
35,3,0,W
39,4,0,W
41,5,0,W
65,6,0,W
86,7,0,W
68,1,0,W
05,1,0,W
12,2,0,W
33,3,0,W
56,4,0,W
110,0,0,T
84,0,1,L
04,1,0,T
16,1,1,T
44,1,0,W
04,0,1,L
15,0,2,L
15,1,2,L
35,2,2,L
99,2,3,L
08,0,1,L
30,0,2,L
62,1,2,L
09,0,1,L
27,0,2,L
49,0,3,L
51,0,4,L
63,0,5,L
02,1,0,W
27,1,0,W
68,2,0,W
78,3,0,W
86,4,0,W
89,5,0,W
06,0,1,W
15,1,1,W
17,2,1,W
03,1,0,W
10,2,0,W
13,3,0,W
44,4,0,W
51,5,0,W
69,6,0,W
74,7,0,W
88,8,0,W
55,0,1,L
16,0,1,L
36,0,2,L
78,0,3,L
50,0,1,L
24,1,0,W
07,0,1,W
26,1,1,W
29,2,1,W
37,3,1,W
48,3,2,W
65,3,3,W
92,4,3,W
71,1,0,W
83,1,1,W
83,2,1,W
93,0,1,L
24,1,0,L
34,1,1,L
39,2,1,L
59,2,2,L
64,2,3,L
71,2,4,L
16,1,0,W
33,2,0,W
39,2,1,W
56,3,1,W
81,3,2,W
71,0,1,L
73,1,1,L
88,1,2,L
11,1,0,W
56,1,0,W
60,2,0,W
62,2,1,W
07,0,1,W
30,1,1,W
37,2,1,W
108,0,1,L
12,0,1,L
36,0,2,L
65,1,2,L
00,1,0,L
66,1,1,L
85,1,2,L
10,1,0,W
20,2,0,W
54,3,0,W
57,4,0,W
59,5,0,W
77,5,1,W
67,0,1,L
23,1,0,W
51,2,0,W
61,3,0,W
69,4,0,W
86,5,0,W
07,0,1,L
07,0,2,L
62,0,3,L
71,0,4,L
06,0,1,L
17,0,2,L
64,0,3,L
85,0,4,L
11,1,0,L
45,1,1,L
56,1,2,L
85,1,3,L
21,0,1,L
23,0,2,L
26,1,2,L
51,1,3,L
10,1,0,W
39,2,0,W
41,3,0,W
43,4,0,W
71,5,0,W
48,1,0,W
63,2,0,W
69,3,0,W
110,0,0,T
50,0,1,L
62,0,2,L
52,1,0,W
70,1,1,W
108,2,1,W
20,0,1,W
81,1,1,W
107,2,1,W
09,1,0,W
64,2,0,W
68,3,0,W
11,1,0,W
21,2,0,W
80,3,0,W
86,3,1,W
03,1,0,W
18,2,0,W
25,3,0,W
47,4,0,W
51,4,1,W
64,5,1,W
75,6,1,W
80,7,1,W
14,1,0,W
16,2,0,W
32,3,0,W
38,4,0,W
67,5,0,W
66,0,1,L
78,0,2,L
89,0,3,L
07,1,0,W
33,2,0,W
45,3,0,W
66,4,0,W
85,5,0,W
21,1,0,W
37,2,0,W
39,3,0,W
56,4,0,W
71,5,0,W
86,6,0,W
77,6,1,W
79,1,0,W
04,0,1,L
15,0,2,L
69,0,3,L
70,1,3,L
74,2,3,L
08,0,1,L
10,0,2,L
16,0,3,L
03,0,1,W
64,1,1,W
66,2,1,W
09,0,1,L
18,0,2,L
20,0,3,L
22,0,4,L
34,0,5,L
45,0,6,L
80,0,7,L
03,1,0,W
25,2,0,W
47,3,0,W
66,3,1,W
80,4,1,W
87,5,1,W
54,1,0,W
07,1,0,W
58,2,0,W
66,2,1,W
74,3,1,W
82,4,1,W
110,0,0,T
11,1,0,L
48,1,1,L
79,1,2,L
88,1,0,W
03,0,1,L
55,0,2,L
03,1,0,W
07,2,0,W
21,3,0,W
70,4,0,W
02,1,0,W
45,2,0,W
50,3,0,W
54,4,0,W
77,5,0,W
81,6,0,W
39,1,0,W
45,2,0,W
53,3,0,W
83,3,1,W
110,0,0,T
02,0,1,L
15,1,0,W
47,2,0,W
69,3,0,W
77,4,0,W
12,0,1,L
17,0,2,L
12,1,0,L
12,1,1,L
58,1,2,L
81,1,3,L
68,0,1,L
24,0,1,W
35,1,1,W
42,2,1,W
74,3,1,W
55,1,0,W
59,2,0,W
35,0,1,L
44,0,2,L
79,0,3,L
86,1,3,L
18,0,1,L
45,0,2,L
50,0,3,L
58,1,3,L
83,2,3,L
19,1,0,W
36,0,1,L
10,1,0,W
12,2,0,W
28,3,0,W
30,4,0,W
84,5,0,W
51,0,1,W
64,1,1,W
72,2,1,W
85,3,1,W
01,1,0,W
18,2,0,W
31,2,1,W
61,3,1,W
67,3,2,W
75,4,2,W
55,1,0,W
76,1,0,W
26,1,0,W
30,2,0,W
38,3,0,W
83,4,0,W
07,1,0,W
25,2,0,W
58,2,1,W
09,0,1,L
13,0,2,L
16,0,3,L
47,0,4,L
64,0,5,L
20,0,1,L
26,0,2,L
27,1,0,W
32,2,0,W
36,3,0,W
65,4,0,W
69,5,0,W
71,6,0,W
89,6,1,W
01,1,0,W
06,1,0,W
52,2,0,W
49,1,0,W
70,2,0,W
76,3,0,W
07,1,0,W
39,2,0,W
45,3,0,W
110,0,0,T
08,1,0,W
10,1,0,W
14,1,0,W
76,1,1,W
77,2,1,W
89,3,1,W
01,1,0,W
46,0,1,T
79,1,1,T
18,1,0,W
24,2,0,W
33,3,0,W
67,1,0,W
05,0,1,L
13,1,1,L
69,1,2,L
82,1,3,L
83,2,3,L
15,1,0,T
76,1,1,T
18,1,0,W
44,1,1,W
78,2,1,W
02,0,1,L
47,0,2,L
62,0,3,L
36,1,0,W
34,2,0,W
28,3,0,W
19,4,0,W
03,1,0,W
35,2,0,W
10,1,0,W
18,1,0,W
33,2,0,W
43,3,0,W
63,0,1,L
02,0,1,L
29,0,2,L
60,0,3,L
69,0,4,L
81,1,0,W
04,1,0,W
04,2,0,W
75,3,0,W
79,4,0,W
28,1,0,W
47,2,0,W
61,2,1,W
50,1,0,W
72,2,0,W
45,1,0,W
63,1,0,W
01,0,1,L
04,1,1,L
17,1,2,L
68,1,3,L
44,0,1,L
04,1,0,W
33,2,0,W
41,3,0,W
09,0,1,L
57,0,2,L
66,0,3,L
31,1,0,W
53,2,0,W
58,3,0,W
48,1,0,L
69,1,1,L
71,1,2,L
89,1,3,L
99,1,0,W
35,1,0,W
55,1,1,W
73,2,1,W
51,1,0,W
65,2,0,W
1,1,0,W
15,2,0,W
41,3,0,W
52,4,0,W
62,5,0,W
09,1,0,W
34,1,0,W
36,2,0,W
60,3,0,W
76,4,0,W
56,1,0,W
14,1,0,W
27,2,0,W
33,3,0,W
61,4,0,W
71,5,0,W
38,1,0,W
08,1,0,W
13,0,1,W
15,1,1,W
46,1,2,W
75,2,2,W
82,3,2,W
84,4,2,W
74,0,1,L
73,1,0,W
25,1,0,T
65,1,1,T
05,0,1,L
57,0,1,L
26,1,0,W
35,2,0,W
56,3,0,W
74,4,0,W
16,1,0,L
49,1,1,L
60,1,2,L
10,1,0,W
36,2,0,W
77,3,0,W
78,4,0,W
04,1,0,W
11,2,0,W
24,2,1,W
20,0,1,L
106,0,1,L
16,1,0,W
29,2,0,W
88,3,0,W
63,1,0,T
74,1,1,T
04,0,1,L
30,0,2,L
46,0,3,L
72,1,3,L
00,0,1,L
05,0,2,L
29,0,3,L
48,0,4,L
51,0,5,L
56,1,0,W
21,0,1,W
69,1,1,W
70,2,1,W
89,3,1,W
28,0,1,W
42,1,1,W
57,2,1,W
61,3,1,W
84,4,1,W
53,1,0,W
59,2,0,W
84,3,0,W
16,0,1,T
83,1,1,T
99,1,0,W
81,0,1,L
89,1,1,L
94,1,2,L
88,1,0,W
87,1,1,W
65,2,1,W
64,3,1,W
62,4,1,W
61,5,1,W
50,6,1,W
48,7,1,W
46,8,1,W
73,1,0,T
73,1,1,T
68,1,0,W
43,1,0,W
10,0,1,L
48,0,2,L
55,0,3,L
81,1,3,L
11,0,1,W
17,1,1,W
20,2,1,W
81,3,1,W
43,0,1,L
45,0,2,L
59,1,2,L
60,1,3,L
19,0,1,L
38,1,1,L
78,1,2,L
16,1,0,W
31,2,0,W
72,3,0,W
75,4,0,W
76,5,0,W
12,1,0,W
22,2,0,W
26,3,0,W
26,4,0,W
30,5,0,W
35,6,0,W
52,7,0,W
56,7,1,W
59,8,1,W
64,9,1,W
66,10,1,W
79,11,1,W
13,1,0,W
24,1,1,W
38,1,2,W
62,2,2,W
69,3,2,W
87,4,2,W
35,1,0,L
59,1,1,L
94,1,2,L
27,1,0,W
38,2,0,W
59,3,0,W
78,3,1,W
82,4,1,W
18,0,1,L
22,0,2,L
47,0,3,L
08,1,0,L
50,1,1,L
58,1,2,L
73,2,2,L
75,2,3,L
17,1,0,W
23,2,0,W
72,2,1,W
90,1,0,W
53,0,1,L
60,0,1,L
23,1,0,W
24,2,0,W
51,1,0,W
53,2,0,W
59,3,0,W
53,1,0,L
89,1,1,L
99,1,2,L
19,0,1,L
49,0,2,L
80,0,3,L
09,0,1,L
13,0,2,L
16,1,2,L
34,1,3,L
08,1,0,W
31,2,0,W
33,3,0,W
42,4,0,W
68,5,0,W
12,0,1,L
66,0,2,L
68,0,3,L
69,0,4,L
74,0,5,L
75,0,6,L
78,0,7,L
110,0,0,T
11,0,1,L
24,0,2,L
72,0,3,L
89,1,3,L
07,0,1,W
12,0,2,W
38,1,2,W
52,2,2,W
66,3,2,W
48,1,0,W
32,0,1,W
45,1,1,W
63,2,1,W
10,1,0,W
60,2,0,W
02,1,0,W
11,2,0,W
29,3,0,W
35,4,0,W
45,5,0,W
50,6,0,W
68,7,0,W
82,8,0,W
86,9,0,W
58,1,0,W
04,1,0,W
04,2,0,W
56,1,0,W
62,2,0,W
97,0,1,L
110,0,0,T
48,1,0,W
54,2,0,W
55,3,0,W
67,4,0,W
78,4,1,W
01,1,0,W
06,2,0,W
14,3,0,W
30,4,0,W
45,5,0,W
56,6,0,W
62,7,0,W
74,8,0,W
84,8,1,W
89,9,1,W
15,0,1,L
27,0,2,L
49,0,1,L
51,0,2,L
64,1,2,L
70,2,2,L
119,2,3,L
05,1,0,W
40,2,0,W
57,2,1,W
61,3,1,W
27,0,1,L
30,0,2,L
60,1,2,L
17,1,0,T
23,1,1,T
05,1,0,W
07,1,0,L
10,1,1,L
79,1,2,L
50,1,0,W
77,1,1,W
94,2,1,W
22,0,1,W
12,1,1,W
31,2,1,W
110,0,0,T
40,1,0,T
87,1,1,T
16,1,0,W
21,2,0,W
25,3,0,W
44,4,0,W
44,5,0,W
80,5,1,W
22,0,1,L
44,1,1,L
95,1,2,L
25,1,0,W
40,2,0,W
65,3,0,W
03,1,0,W
13,2,0,W
41,3,0,W
46,3,1,W
69,4,1,W
59,1,0,W
03,0,1,L
29,0,2,L
61,0,3,L
86,0,4,L
14,1,0,W
10,1,0,W
69,2,0,W
20,1,0,W
30,2,0,W
36,3,0,W
67,4,0,W
67,4,1,W
80,5,1,W
83,6,1,W
84,7,1,W
76,1,0,W
105,1,0,W
05,1,0,L
31,1,1,L
42,1,2,L
77,1,0,W
110,0,0,T
17,1,0,L
35,1,1,L
36,1,2,L
72,2,2,L
81,2,3,L
10,1,0,W
106,0,1,L
01,0,1,W
58,1,1,W
96,2,1,W
26,0,1,W
54,1,1,W
99,2,1,W
08,0,1,L
64,0,2,L
87,0,3,L
13,1,0,W
40,2,0,W
55,3,0,W
62,4,0,W
83,5,0,W
110,0,0,T
110,0,0,T
08,0,1,L
26,1,1,L
29,1,2,L
53,1,3,L
57,1,4,L
82,1,5,L
18,1,0,W
33,2,0,W
77,2,1,W
18,1,0,W
03,1,0,W
48,1,1,W
75,2,1,W
21,0,1,L
31,1,1,L
35,1,2,L
55,1,3,L
110,0,0,T
21,1,0,W
110,0,0,T
01,1,0,W
64,2,0,W
42,0,1,L
51,0,2,L
70,0,3,L
17,1,0,W
61,2,0,W
65,2,1,W
23,0,1,L
37,0,2,L
48,1,2,L
17,1,0,W
50,1,1,W
92,2,1,W
110,0,0,T
36,1,0,L
73,1,1,L
85,1,2,L
110,0,0,T
28,1,0,W
65,2,0,W
75,2,1,W
82,3,1,W
110,0,0,T
19,1,0,W
31,2,0,W
76,2,1,W
87,3,1,W
44,1,0,W
73,2,0,W
19,1,0,L
72,1,1,L
85,1,2,L
22,1,0,W
30,1,1,W
107,2,1,W
20,0,1,L
73,0,2,L
05,0,1,L
06,0,2,L
29,0,3,L
70,0,4,L
84,0,5,L
87,0,6,L
54,0,1,W
60,1,1,W
61,2,1,W
86,3,1,W
73,1,0,L
77,1,1,L
99,1,2,L
110,0,0,T
78,0,1,W
83,1,1,W
86,2,1,W
66,1,0,W
74,2,0,W
49,1,0,W
53,2,0,W
110,0,0,T
03,0,1,W
04,1,1,W
21,2,1,W
30,3,1,W
53,4,1,W
07,1,0,L
30,1,1,L
67,1,2,L
28,1,0,W
49,2,0,W
51,3,0,W
32,1,0,W
48,2,0,W
49,3,0,W
84,1,0,W
03,1,0,W
05,2,0,W
45,3,0,W
61,3,1,W
82,3,2,W
87,4,2,W
88,5,2,W
52,1,0,W
74,1,0,W
74,1,0,W
109,1,0,W
09,1,0,W
32,2,0,W
66,3,0,W
12,1,0,W
86,2,0,W
18,1,0,W
00,0,1,T
47,0,2,T
78,1,2,T
87,2,2,T
06,1,0,W
43,2,0,W
47,3,0,W
53,4,0,W
65,5,0,W
87,6,0,W
25,0,1,L
40,1,1,L
43,1,2,L
67,1,3,L
82,1,4,L
12,0,1,L
46,0,2,L
72,0,3,L
00,1,0,L
16,1,1,L
26,1,2,L
49,1,3,L
53,1,4,L
76,1,5,L
79,1,6,L
05,0,1,W
10,1,1,W
27,2,1,W
30,2,2,W
65,2,3,W
73,3,3,W
80,4,3,W
78,1,0,W
13,0,1,L
42,0,2,L
12,0,1,L
52,1,1,L
63,1,2,L
72,1,3,L
81,2,3,L
39,1,0,W
59,2,0,W
11,0,1,L
29,1,1,L
51,1,2,L
10,1,0,W
11,2,0,W
19,3,0,W
21,4,0,W
56,5,0,W
60,6,0,W
10,1,0,W
23,2,0,W
110,0,0,T
27,0,1,L
51,0,2,L
76,0,3,L
80,0,4,L
02,1,0,W
44,2,0,W
47,3,0,W
57,4,0,W
60,5,0,W
87,6,0,W
16,1,0,W
40,2,0,W
48,2,1,W
70,3,1,W
10,1,0,W
18,2,0,W
42,3,0,W
50,3,1,W
55,3,2,W
82,4,2,W
85,5,2,W
110,0,0,T
34,0,1,L
110,0,0,T
05,1,0,L
25,1,1,L
47,1,2,L
50,1,3,L
51,1,4,L
52,2,4,L
49,0,1,L
54,0,2,L
68,0,3,L
82,0,4,L
02,1,0,W
05,2,0,W
08,3,0,W
10,4,0,W
22,5,0,W
24,6,0,W
59,7,0,W
74,7,1,W
22,0,1,L
41,0,2,L
54,1,2,L
65,2,2,L
98,2,3,L
65,1,0,W
53,1,0,W
01,1,0,W
33,0,1,W
39,1,1,W
43,2,1,W
59,3,1,W
88,4,1,W
110,0,0,T
07,0,1,T
20,1,1,T
32,2,1,T
69,2,2,T
29,1,0,W
80,2,0,W
83,3,0,W
50,0,1,L
88,1,1,L
95,1,2,L
02,1,0,W
76,2,0,W
22,0,1,L
97,0,1,L
33,0,1,L
98,1,0,W
21,1,0,W
46,1,1,W
60,2,1,W
09,1,0,W
20,2,0,W
46,3,0,W
63,4,0,W
36,0,1,L
47,0,2,L
56,1,2,L
64,2,2,L
93,2,3,L
37,0,1,L
45,0,2,L
49,0,3,L
110,0,0,T
24,0,1,L
38,1,0,W
13,1,0,W
48,1,1,W
65,2,1,W
25,0,1,L
45,0,2,L
73,1,2,L
110,0,0,T
08,1,0,W
55,2,0,W
05,0,1,L
28,0,2,L
34,0,3,L
38,0,4,L
12,1,0,L
24,1,1,L
35,1,2,L
37,1,3,L
44,2,3,L
68,2,4,L
82,2,5,L
26,1,0,W
62,2,0,W
74,3,0,W
86,4,0,W
46,1,0,W
54,2,0,W
85,2,1,W
89,3,1,W
15,1,0,W
52,2,0,W
66,2,1,W
03,1,0,W
86,1,1,W
89,2,1,W
12,0,1,L
21,0,2,L
13,1,0,W
47,2,0,W
66,2,1,W
74,3,1,W
75,3,2,W
110,0,0,T
10,0,1,W
35,1,1,W
52,2,1,W
62,3,1,W
55,0,1,T
63,1,1,T
35,1,0,W
36,2,0,W
76,2,1,W
46,1,0,W
70,2,0,W
12,0,1,L
36,1,1,L
72,1,2,L
17,0,1,T
54,1,1,T
17,0,1,L
32,0,2,L
37,1,2,L
77,2,2,L
78,2,3,L
03,1,0,W
05,1,1,W
76,2,1,W
95,0,1,L
49,0,1,W
62,1,1,W
70,2,1,W
42,0,1,W
72,1,1,W
75,2,1,W
46,0,1,L
49,0,2,L
78,1,2,L
87,1,3,L
12,1,0,W
17,2,0,W
75,2,1,W
11,0,1,L
38,1,1,L
96,1,2,L
23,1,0,W
33,2,0,W
15,0,1,W
32,1,1,W
52,2,1,W
14,1,0,W
17,1,1,W
19,2,1,W
45,3,1,W
50,4,1,W
43,0,1,L
88,0,1,L
41,0,1,L
16,1,0,W
62,1,0,W
81,2,0,W
88,3,0,W
18,1,0,W
26,2,0,W
28,3,0,W
32,4,0,W
53,5,0,W
63,0,1,T
73,0,2,T
84,1,2,T
85,2,2,T
68,1,0,T
86,1,1,T
40,0,1,L
47,0,2,L
54,1,2,L
84,1,3,L
89,1,4,L
109,0,1,L
09,1,0,W
13,2,0,W
20,3,0,W
38,4,0,W
54,4,1,W
57,5,1,W
35,1,0,L
49,1,1,L
56,1,2,L
57,1,3,L
59,2,3,L
64,2,4,L
72,3,4,L
0,1,0,W
42,2,0,W
51,3,0,W
60,4,0,W
64,5,0,W
75,5,1,W
79,6,1,W
65,0,1,W
75,1,1,W
77,2,1,W
23,1,0,W
04,1,0,W
26,1,0,W
28,2,0,W
63,3,0,W
71,4,0,W
85,5,0,W
17,1,0,W
68,2,0,W
79,2,1,W
06,1,0,W
98,1,0,W
53,1,0,W
60,0,1,L
26,1,0,W
53,2,0,W
04,1,0,W
37,2,0,W
63,3,0,W
02,0,1,L
48,0,2,L
04,0,1,L
47,0,2,L
82,0,3,L
00,1,0,W
18,2,0,W
80,3,0,W
82,3,1,W
46,1,0,W
87,2,0,W
110,0,0,T
05,0,1,L
28,0,2,L
37,0,3,L
51,1,3,L
62,1,4,L
73,1,5,L
74,2,5,L
83,3,5,L
01,1,0,W
24,2,0,W
62,3,0,W
79,3,1,W
110,0,0,T
13,1,0,W
54,2,0,W
74,3,0,W
34,1,0,W
67,2,0,W
06,0,1,L
11,0,2,L
14,0,3,L
46,0,4,L
52,0,5,L
72,0,6,L
80,0,7,L
50,0,1,L
66,0,2,L
15,1,0,W
29,2,0,W
03,0,1,L
10,1,1,L
31,1,2,L
51,1,3,L
65,0,1,L
19,0,1,L
21,0,2,L
01,1,0,W
63,2,0,W
88,2,1,W
24,0,1,T
75,1,1,T
22,0,1,T
30,0,2,T
49,1,2,T
52,2,2,T
11,1,0,W
76,1,0,W
26,1,0,W
66,2,0,W
01,1,0,W
14,1,1,W
45,2,1,W
66,3,1,W
73,4,1,W
15,1,0,W
55,2,0,W
07,1,0,W
19,2,0,W
64,3,0,W
16,0,1,T
52,1,1,T
62,2,1,T
79,2,2,T
27,1,0,W
41,2,0,W
59,3,0,W
14,1,0,W
15,2,0,W
17,3,0,W
19,4,0,W
24,5,0,W
27,6,0,W
39,7,0,W
57,8,0,W
58,9,0,W
62,10,0,W
64,11,0,W
68,12,0,W
71,13,0,W
110,0,0,T
02,1,0,W
38,2,0,W
44,2,1,W
44,3,1,W
78,4,1,W
89,4,2,W
03,1,0,W
32,2,0,W
50,3,0,W
110,0,0,T
02,0,1,L
43,0,2,L
59,0,3,L
110,0,0,T
05,1,0,W
53,1,1,W
56,1,2,W
79,2,2,W
98,3,2,W
